geneID	gnomAD_pLI	ExAc_pLI	LOEUF	ClinGene_HI	ClinGene_TI	DDD_HI	HI_bin	TI_bin
PRKAR2A	0.11865	0.98325	2.0			39.8%	1	1
MSTN	0.5052	0.81291	2.0			2.28%	0	1
PLD5	0.030678	0.1242	2.0			32.58%	1	1
KCTD9	0.061749	0.073397	2.0			21.2%	1	1
SSH1	0.00033003	0.98716	2.0			68.19%	1	1
PXDN	2.5126e-07	2.036e-05	2.0	30.0	0	61.43%	2	1
RPA2	0.50461	0.88846	2.0			23.96%	1	1
SCAMP5	0.65099	0.34543	2.0			31.12%	1	1
FBXO34	0.1166	0.0045985	2.0			67.94%	1	1
HACE1	6.0798e-06	0.0015957	2.0			12.61%	0	1
INPP5F	2.3623e-07	0.0014688	2.0			39.53%	1	1
SLC25A19	0.64923	0.92961	2.0	30.0	0	55.79%	2	1
RGS10	0.75933	0.60156	2.0			27.03%	1	1
ZBTB7B	0.34362	0.83739	2.0			56.89%	1	1
KLHL12	0.030342	0.008087	2.0			31.84%	1	1
PPP2CB	0.34419	0.62251	2.0			25.87%	1	1
RBM7	0.64753	0.76994	2.0			25.67%	1	1
SLA	0.34325	0.72295	2.0			57.82%	1	1
STK4	0.014598	0.11831	2.0			10.71%	0	1
GFRA1	0.1175	0.11958	2.0			2.66%	0	1
GKAP1	0.061133	0.12283	2.0			23.26%	1	1
NHSL2	0.11655	0.81228	2.0			43.44%	1	1
PHLPP2	1.2128e-06	0.015797	2.0			26.22%	1	1
AKAP17A	0.50167	0.71363	2.0			88.87%	2	1
DHX29	3.773e-09	0.0035273	2.0			30.29%	1	1
ZW10	0.0014855	0.047263	2.0			25.45%	1	1
CSRNP1	0.34269	0.59953	2.0			75.48%	1	1
TNFSF8	0.75809	0.85278	2.0			58.25%	1	1
CTSS	0.34178	0.62828	2.0			20.4%	1	1
MPHOSPH8	0.0014733	0.93024	2.0			68.98%	1	1
IGSF21	0.20912	0.5473	2.0			36.82%	1	1
SRRM3	0.20868	0.91183	2.0			62.44%	1	1
JAK3	5.9311e-06	0.99586	2.0			42.26%	1	1
KCNA6	0.49728	0.96113	2.0			44.08%	1	1
FAM49A	0.20603	0.80536	2.0			23.84%	1	1
ARPC5	0.8215	0.77269	2.0			29.75%	1	1
SPPL2A	0.028995	0.047078	2.0			41.13%	1	1
LARS	8.2142e-09	2.2705e-05	2.0			3.76%	0	1
RNF6	0.01389	0.17034	2.0			64.6%	1	1
FARSA	0.014084	0.0040507	2.0			28.53%	1	1
RAB33A	0.82154	0.71354	2.0			32.04%	1	1
SLC11A2	0.0066528	0.0062352	2.0			19.25%	0	1
FRMD8	0.11432	0.084291	2.0			61.75%	1	1
TDRD15	1.1997e-05	0.0	2.0			74.38%	1	1
SH3RF3	0.028368	0.9811	2.0			65.25%	1	1
ANKRD44	0.33657	0.7759	2.0			28.93%	1	1
GATA4	0.49308	0.80216	2.0	3.0	0	0.87%	0	1
GYS1	0.0002914	0.0083227	2.0			32.16%	1	1
AKAP2	6.0664e-05	0.066516	2.0			47.25%	1	1
BTF3	0.75624	0.90437	2.0			15.07%	0	1
ST8SIA1	0.493	0.21157	2.0			34.96%	1	1
KDM1B	0.0014005	0.81509	2.0			35.23%	1	1
PALM2-AKAP2	6.0664e-05	0.066518	2.0			41.09%	1	1
SLC4A3	1.227e-05	0.21842	2.0			49.17%	1	1
POM121	0.057971	0.0	2.0			86.75%	2	1
EPHA3	1.1953e-05	0.015686	2.0			3.51%	0	1
GOLGA5	5.9628e-05	0.36313	2.0			55.07%	1	1
POLD1	2.4179e-06	0.001807	2.0	1.0	0	69.77%	0	1
CCDC88B	1.399e-09	0.00092905	2.0			77.95%	1	1
CYHR1	0.49115	0.053831	2.0			61.63%	1	1
PDE1A	0.013549	0.73066	2.0			23.57%	1	1
SHROOM2	0.0029403	0.006945	2.0			60.6%	1	1
GPR88	0.75488	0.75406	2.0			56.28%	1	1
CTBP2	0.0013557	0.65518	2.0			12.33%	0	1
RPL24	0.64137	0.8643	2.0			15.39%	0	1
TBC1D19	0.00063144	0.016101	2.0			19.34%	0	1
AKAP3	0.056438	0.026333	2.0			72.88%	1	1
ZNF622	0.11086	0.088804	2.0			54%	1	1
CORO2B	0.056849	0.77905	2.0			33.99%	1	1
PAGE1	0.82048	0.38929	2.0			97.15%	2	1
MYLK	9.1706e-12	9.3792e-06	2.0	1.0	0	15.7%	0	1
GK5	0.0063366	0.51989	2.0			62.4%	1	1
SLC23A2	0.0062629	0.51122	2.0			42.87%	1	1
NGF	0.82026	0.70437	2.0			0.46%	0	1
TSNAX	0.48922	0.97204	2.0			18.29%	0	1
SLC25A42	0.48948	0.20831	2.0			63.27%	1	1
IQCJ-SCHIP1	0.027313	0.6605	2.0			13.12%	0	1
SMNDC1	0.63777	0.2758	2.0			4.24%	0	1
CDKN1C	0.81963	0.52282	2.0	3.0	0	24.52%	0	1
PARK7	0.75335	0.90395	2.0	30.0	0	10.87%	0	1
CTDP1	0.00059966	0.92416	2.0	30.0	Not yet evaluated	76.13%	2	1
RHBDD2	0.63858	0.64623	2.0			75.17%	1	1
SPCS3	0.81991	0.69704	2.0			28.25%	1	1
ACBD5	0.006148	0.061646	2.0			47.98%	1	1
ITGA6	1.9014e-07	0.0099136	2.0			11.44%	0	1
SRSF9	0.63924	0.81964	2.0			8.01%	0	1
TECR	0.10845	0.7575	2.0			11.15%	0	1
DUSP9	0.81981	0.64881	2.0			61.55%	1	1
TRIM13	0.6366	0.50514	2.0			25.83%	1	1
DRG1	0.32895	0.95344	2.0			9.62%	0	1
CEP85	0.00027043	0.0058513	2.0			34.33%	1	1
C7orf55-LUC7L2	0.05528	0.99597	2.0			12.24%	0	1
FBXO8	0.48562	0.83683	2.0			11.84%	0	1
SLC5A6	0.0060821	0.57197	2.0			68.45%	1	1
ZFP36	0.75244	0.64593	2.0			65.3%	1	1
KIAA1522	0.026865	0.80237	2.0			67.99%	1	1
LLGL1	2.4685e-05	0.97746	2.0			51.58%	1	1
LRPPRC	2.3019e-10	0.00043378	2.0	30.0	0	34.01%	2	1
NFS1	0.055351	0.83212	2.0			16.38%	0	1
GAS1	0.81915	0.61685	2.0			29.15%	1	1
POC1B-GALNT4	0.10708	0.037596	2.0			56.73%	1	1
ADAMTSL1	3.1241e-12	8.8265e-05	2.0			9.24%	0	1
ADAM11	1.0387e-05	0.024736	2.0			45.66%	1	1
MUM1L1	0.48293	0.63556	2.0			78.3%	1	1
METAP1	0.10521	0.043548	2.0			22.6%	1	1
NSUN2	0.00025826	0.96185	2.0			66.66%	1	1
PLEKHA7	6.22e-09	0.00017304	2.0			26.58%	1	1
KIAA1211	5.3193e-05	0.13036	2.0			83.84%	2	1
NRROS	0.32564	0.45769	2.0			66.49%	1	1
ERP29	0.75108	0.47065	2.0			37.13%	1	1
TRMT12	0.32607	0.94243	2.0			70.21%	1	1
RHBDL1	0.32394	0.49473	2.0			47.03%	1	1
KCNK5	0.32518	0.8843	2.0			47.63%	1	1
KLHDC2	0.026499	0.15796	2.0			16.05%	0	1
STK35	0.48076	0.9182	2.0			32.37%	1	1
BZW2	0.1048	0.99582	2.0			12.59%	0	1
CGGBP1	0.81819	0.77763	2.0			10.98%	0	1
KIAA0247	0.63265	0.68719	2.0				1	1
MTPN	0.81778	0.75465	2.0			15.72%	0	1
FAM81A	0.19196	0.48707	2.0			37.05%	1	1
PDE8A	0.00011503	0.71348	2.0			64.49%	1	1
WDR11	1.3704e-08	0.070328	2.0			39.5%	1	1
KCNC2	0.18911	0.0035968	2.0			17.89%	0	1
EIF3E	0.05196	0.73423	2.0			6.46%	0	1
KLC4	0.0011939	0.236	2.0			27.9%	1	1
RTL1	0.0056135	0.0081665	2.0			84.21%	2	1
NFKBID	0.31905	0.79506	2.0			68.61%	1	1
STK25	0.051875	0.045267	2.0			40.39%	1	1
RANGAP1	0.025531	0.13272	2.0			21.41%	1	1
SEMA4B	0.00054103	0.001608	2.0			71.91%	1	1
TIMP3	0.63037	0.11209	2.0			3.48%	0	1
AVL9	0.0026324	0.00032549	2.0			35.83%	1	1
ITGA3	3.5545e-07	2.4091e-05	2.0	30.0	0	25.55%	2	1
SSR3	0.74736	0.30191	2.0			25.85%	1	1
SSTR1	0.7473	0.82992	2.0			19.46%	0	1
VPS29	0.74696	0.93474	2.0			8.49%	0	1
GATM	0.051418	0.86649	2.0			17.95%	0	1
WDR81	6.7458e-08	1.2601e-05	2.0			45.31%	1	1
AGPAT4	0.1021	0.6745	2.0			61.98%	1	1
PPM1L	0.47287	0.57055	2.0			14.61%	0	1
FBXL7	0.31497	0.20011	2.0			15.66%	0	1
SLC35F3	0.0996	0.89452	2.0			38.81%	1	1
COL14A1	1.4327e-14	0.0013679	2.0			6.75%	0	1
COL18A1	1.7414e-10	1.2377e-05	2.0			64.02%	1	1
TSPAN7	0.74577	0.86995	2.0	1.0	0	17.96%	0	1
HVCN1	0.62735	0.75049	2.0			62.05%	1	1
HYAL2	0.18682	0.020632	2.0			55.93%	1	1
WIPF2	0.18669	0.36673	2.0			17%	0	1
NIPSNAP1	0.10005	0.97928	2.0			48.34%	1	1
ADCY8	1.7766e-06	0.0029857	2.0			13.01%	0	1
RAB3GAP1	1.4523e-07	3.661e-05	2.0	30.0	Not yet evaluated	27.47%	2	1
TAC1	0.74608	0.87731	2.0			3.65%	0	1
KIAA1324L	2.036e-05	0.00016696	2.0			22.37%	1	1
CHP1	0.62667	0.22812	2.0			13.27%	0	1
RAD23A	0.18355	0.039257	2.0			34.09%	1	1
UBTD1	0.74558	0.77753	2.0			39.57%	1	1
ITM2B	0.62589	0.71513	2.0			20.15%	1	1
F2	0.0011118	0.95994	2.0			6.02%	0	1
METRNL	0.74538	0.86022	2.0			77.33%	1	1
DCN	0.31231	0.45757	2.0			2.89%	0	1
CLPB	0.00049945	9.1324e-06	2.0			17.67%	0	1
FGG	0.04963	0.079294	2.0			52.44%	1	1
MYLIP	0.18431	0.020227	2.0			34.07%	1	1
SACS	1.0852e-23	6.1463e-12	2.0	30.0	0	35.26%	2	1
RAB5A	0.62452	0.7744	2.0			11.08%	0	1
ZC2HC1A	0.30952	0.81143	2.0			41.8%	1	1
RTEL1	8.8674e-10	0.77776	2.0			77.48%	1	1
TTC18	5.8673e-08	1.7516e-05	2.0				1	1
RAP1A	0.62227	0.93419	2.0			3.22%	0	1
PLEKHH1	4.6782e-09	0.00066028	2.0			58.61%	1	1
UNC13C	2.1692e-15	3.6878e-07	2.0			36%	1	1
UBE2A	0.815	0.79814	2.0	3.0	0	9.57%	0	1
SLC16A10	0.30853	0.067607	2.0			48.07%	1	1
ADAMTS19	5.9648e-08	0.95196	2.0			53.7%	1	1
SLC23A1	0.023504	0.024322	2.0			43.87%	1	1
NUTM1	0.0023642	0.0059811	2.0			60.97%	1	1
FGF12	0.62294	0.11421	2.0	0.0	1	3.96%	0	0
FAM188A	0.011165	0.62969	2.0			12.43%	0	1
SGCE	0.023761	0.0013863	2.0	3.0	0	13.27%	0	1
MAF	0.74382	0.429	2.0			13.33%	0	1
NES	1.6236e-06	2.0696e-05	2.0			5.4%	0	1
KIF18B	0.002309	8.3084e-05	2.0			58.12%	1	1
OSBPL3	1.585e-06	0.0026619	2.0			38.99%	1	1
UAP1	0.023389	0.90808	2.0			42.15%	1	1
MFSD2A	0.011025	0.91767	2.0			40.67%	1	1
TOP3B	0.00021389	0.11453	2.0			15.87%	0	1
SRPX2	0.04812	0.96253	2.0	0.0	0	16.71%	0	1
FGD6	2.4019e-08	0.99523	2.0			53.07%	1	1
PTGFRN	0.00047574	0.63886	2.0			57.84%	1	1
EHD2	0.30763	0.53164	2.0			57.85%	1	1
MST4	0.30798	0.77798	2.0				1	1
VPS11	1.8905e-05	0.22366	2.0			25.52%	1	1
PAGR1	0.74265	0.0	2.0			46.25%	1	1
FKBP1A	0.81452	0.67864	2.0			8.67%	0	1
PRKAR1B	0.17935	0.024758	2.0			58.06%	1	1
AMER3	0.61869	0.00011202	2.0			86.36%	2	1
LDLRAD4	0.62011	0.37731	2.0			46.33%	1	1
VGLL1	0.81365	0.44992	2.0			86.32%	2	1
CAMK2D	0.002287	0.016662	2.0			13.51%	0	1
RBM12B	0.0049816	0.12042	2.0			15.71%	0	1
DIO2	0.6196	0.2178	2.0			12.81%	0	1
FGF20	0.81379	0.70285	2.0			19.8%	0	1
KDM4C	6.5189e-07	0.00075873	2.0			37.27%	1	1
REPIN1	0.09473	0.962	2.0			62.92%	1	1
TLX1	0.74161	0.46372	2.0			21.88%	1	1
TSSK6	0.741	0.58755	2.0			39.15%	1	1
ERLIN1	0.17751	0.93171	2.0			20%	0	1
ACBD3	0.010653	0.98182	2.0			26.94%	1	1
MDC1	2.2689e-08	0.00094185	2.0			49.99%	1	1
SH3BP1	0.010463	0.15268	2.0			52.23%	1	1
CPSF1	3.1043e-10	0.0011045	2.0			26.38%	1	1
FAM115A	0.61756	0.862	2.0				1	1
ARFGAP2	0.0048866	0.56299	2.0			23.5%	1	1
TWISTNB	0.61708	0.30942	2.0			59.85%	1	1
OTP	0.74039	0.848	2.0			10.67%	0	1
PIN1	0.74031	0.34091	2.0			6.57%	0	1
SHC3	0.046457	0.45767	2.0			51.55%	1	1
GOLGA1	1.4256e-06	0.0061074	2.0			31.83%	1	1
SLC7A14	0.022116	0.33259	2.0			25.72%	1	1
B3GNT3	0.73888	0.20097	2.0			90.58%	2	1
OXCT1	0.0047279	0.26738	2.0	30.0	Not yet evaluated	26.58%	2	1
TRPC7	0.00019479	0.0029862	2.0			23.33%	1	1
RALYL	0.45873	0.02969	2.0			14.98%	0	1
ASPHD2	0.45902	0.52601	2.0			59.13%	1	1
MUM1	0.0021523	0.032093	2.0			93.41%	2	1
NCK2	0.45789	0.70284	2.0			23.08%	1	1
PLEKHM2	1.7077e-05	0.0050656	2.0			41.27%	1	1
ZBTB11	3.2012e-06	0.26945	2.0			26.59%	1	1
SHROOM1	0.045738	0.0095955	2.0			82.69%	2	1
RNF112	0.021835	0.0036567	2.0			72.59%	1	1
WDR75	1.7127e-05	0.56649	2.0			27.12%	1	1
USP39	0.01038	0.031608	2.0			10.22%	0	1
CPOX	0.17152	0.023227	2.0			49.49%	1	1
ICAM5	0.002139	0.0	2.0			67.17%	1	1
NFIC	0.090534	0.8425	2.0			6.61%	0	1
PIP5K1A	0.0020938	0.014586	2.0			44.92%	1	1
TP53INP2	0.8117	0.34145	2.0			50.03%	1	1
DNAJA1	0.090813	0.26011	2.0			13.56%	0	1
ODC1	0.16966	0.9508	2.0			13.35%	0	1
ERC1	1.0574e-07	0.0041239	2.0			8.21%	0	1
BARHL2	0.61149	0.22234	2.0			11.48%	0	1
KIFAP3	1.5803e-05	0.0019715	2.0			8.31%	0	1
SSB	0.089615	0.52595	2.0			5.03%	0	1
CYB561	0.61092	0.6989	2.0			66.85%	1	1
SEPT3	0.089413	0.069248	2.0			29.47%	1	1
EIF5A	0.73709	0.89088	2.0			21.7%	1	1
BEND2	0.088486	0.34822	2.0			98.62%	2	1
FAM178A	2.8868e-06	0.016447	2.0			19.38%	0	1
RP11-565P22.6	0.81065	0.0	2.0				1	1
A2M	4.5229e-11	0.00054011	2.0			49.36%	1	1
IFT46	0.16822	0.95087	2.0			31.01%	1	1
MORF4L2	0.81082	0.63639	2.0			46.08%	1	1
NEUROG2	0.81093	0.36161	2.0			10.36%	0	1
FH	0.08824	0.14869	2.0	3.0	0	15.21%	0	1
TPST1	0.29239	0.011481	2.0			31.14%	1	1
FAM222B	0.29182	0.54945	2.0			7.42%	0	1
UBL3	0.73544	0.7181	2.0			16.04%	0	1
NAA50	0.73486	0.87685	2.0			1.06%	0	1
MLEC	0.60716	0.47092	2.0			20.42%	1	1
CX3CL1	0.60837	0.96338	2.0			80.89%	2	1
PHTF2	0.00017719	0.024946	2.0			19.17%	0	1
DLD	0.0095142	0.37105	2.0			5.26%	0	1
C12orf5	0.7348	0.6913	2.0				1	1
WLS	0.020463	0.34454	2.0			26.07%	1	1
MVK	0.16679	0.042161	2.0			64.65%	1	1
UBE3B	4.1871e-08	0.0093877	2.0	30.0	0	57.19%	2	1
SSFA2	5.3472e-07	7.6839e-05	2.0			44.06%	1	1
GDAP1L1	0.4453	0.35397	2.0			27.74%	1	1
KLHL32	0.0093469	0.50959	2.0			6.82%	0	1
LMAN1	0.0042632	0.48607	2.0	30.0	Not yet evaluated	36.45%	2	1
SURF4	0.60564	0.68642	2.0			42.48%	1	1
GMNC	0.44666	0.0	2.0			45.88%	1	1
CRNKL1	2.7151e-06	0.88198	2.0			20.56%	1	1
UQCRC1	0.020028	0.13247	2.0			35.57%	1	1
PDK3	0.44547	0.87928	2.0			27.46%	1	1
LRRTM4	0.085808	0.74807	2.0			7.26%	0	1
CAP1	0.019817	0.58594	2.0			29.53%	1	1
PHKA1	2.0904e-07	0.88129	2.0			26.08%	1	1
CNTNAP2	2.8673e-09	3.8288e-05	2.0	1.0	0	4.94%	0	1
LMBRD2	0.00016404	0.014565	2.0			15.13%	0	1
LSM11	0.60438	0.49084	2.0			47.99%	1	1
CPNE5	0.00037837	0.07789	2.0			39.59%	1	1
FOXA3	0.73257	0.39551	2.0			47.67%	1	1
EMC3	0.28563	0.80193	2.0			22.95%	1	1
S1PR1	0.73269	0.48481	2.0			25.19%	1	1
CENPC	7.3778e-05	0.067117	2.0			65.32%	1	1
CNOT6	0.019515	0.47846	2.0			9.99%	0	1
DMAP1	0.041133	0.33614	2.0			10.29%	0	1
TNFRSF11B	0.16171	0.27223	2.0	30.0	Not yet evaluated	13.92%	0	1
NUP50	0.28337	0.23854	2.0			53.55%	1	1
HOXD3	0.44051	0.40756	2.0			3.22%	0	1
LAMTOR3	0.7313	0.68058	2.0			16.89%	0	1
PPIL2	0.00082347	0.027493	2.0			57.94%	1	1
EIF4H	0.43982	0.92254	2.0			21.78%	1	1
C12orf66	0.44192	0.75779	2.0			30.85%	1	1
ITGA11	8.661e-08	0.00011617	2.0			36.04%	1	1
PTCHD2	3.626e-08	4.1651e-05	2.0			39.28%	1	1
APOO	0.60201	0.75411	2.0			40.36%	1	1
SCAMP2	0.16007	0.3837	2.0			44.05%	1	1
HDC	0.0041094	0.51482	2.0			43.18%	1	1
SEPT8	0.084191	0.95429	2.0			34.67%	1	1
SHF	0.16039	0.028083	2.0			49.13%	1	1
SYT4	0.43924	0.1276	2.0			16.25%	0	1
MAB21L2	0.43769	0.80378	2.0			6.2%	0	1
TXNIP	0.15918	0.25214	2.0			17.61%	0	1
RIN2	0.00081408	0.0082956	2.0	30.0	Not yet evaluated	39.64%	2	1
ZNF385A	0.2798	0.84855	2.0			43.8%	1	1
NOL9	0.008884	0.0044702	2.0			84.4%	2	1
CCNB1	0.15993	0.023969	2.0			1.96%	0	1
REEP2	0.43941	0.87639	2.0			36.87%	1	1
SLC10A3	0.8071	0.62924	2.0			65.48%	1	1
NAPG	0.081162	0.086132	2.0			51.17%	1	1
LSM14A	0.03987	0.38392	2.0			2.91%	0	1
IDH3A	0.15704	0.23095	2.0			27.42%	1	1
AMIGO2	0.59743	0.54524	2.0			66.81%	1	1
CXCR5	0.72861	0.16025	2.0			53.76%	1	1
DND1	0.43615	0.70967	2.0			34.99%	1	1
RNF169	0.039503	0.084139	2.0			56.16%	1	1
IGDCC4	2.3605e-06	0.014885	2.0			56.61%	1	1
CHFR	0.00078671	0.63671	2.0			51.4%	1	1
CCSER1	0.000789	0.21135	2.0			39.06%	1	1
SULT2B1	0.43553	0.82792	2.0			29.2%	1	1
INTS7	1.2557e-05	0.86098	2.0			29.04%	1	1
STRIP1	1.2538e-05	0.1309	2.0			17.23%	0	1
ACSL3	0.00034758	0.5301	2.0			47.65%	1	1
BCL2L2-PABPN1	0.27913	0.42597	2.0			5.42%	0	1
USP54	3.3877e-11	3.9425e-05	2.0			25.08%	1	1
TRHDE	1.0218e-06	0.080997	2.0			6.63%	0	1
CCDC120	0.43409	0.69131	2.0			55.98%	1	1
LRRC59	0.43432	0.48214	2.0			54.21%	1	1
GBF1	4.7521e-15	4.1235e-07	2.0			10.62%	0	1
H3F3B	0.80682	0.80972	2.0			0.32%	0	1
ZKSCAN2	2.8416e-05	0.0029377	2.0			49.77%	1	1
ADORA2A	0.5971	0.33162	2.0			31.87%	1	1
GNL2	6.52e-05	0.45303	2.0			29%	1	1
DOK6	0.15534	0.45884	2.0			19.92%	0	1
WDR45B	0.15624	0.63704	2.0			50.13%	1	1
RNF216	2.2561e-06	0.40933	2.0			36.49%	1	1
ALOX12B	0.00075626	0.17331	2.0			62.25%	1	1
ANKRD33B	0.43225	0.0	2.0			76.38%	1	1
SNCAIP	0.00032848	0.00036297	2.0			20.76%	1	1
ADCY7	9.4815e-07	0.017721	2.0			55.03%	1	1
PDLIM5	0.0016769	0.012278	2.0			10.4%	0	1
ZNF655	0.15423	0.037892	2.0			57.47%	1	1
MCM4	0.00014571	0.00030184	2.0			13.9%	0	1
RLTPR	2.9337e-11	0.022353	2.0			59.27%	1	1
CTD-2132N18.3	0.43241	0.0	2.0				1	1
PDHB	0.15201	0.35731	2.0			10.19%	0	1
NOP58	0.003652	0.50948	2.0			11.51%	0	1
ARL4A	0.80528	0.6403	2.0			44.54%	1	1
DBNL	0.017939	0.070982	2.0			61.86%	1	1
ARHGEF4	0.0007357	0.068595	2.0	0.0	0	65.32%	1	1
C14orf2	0.8054	0.65863	2.0			75.95%	1	1
HNRNPDL	0.077954	0.91605	2.0			15.71%	0	1
SSR1	0.2706	0.03229	2.0			28.18%	1	1
SMAP2	0.017751	0.014286	2.0			18.19%	0	1
ZNF184	0.0036775	0.13375	2.0			68.17%	1	1
KIF2C	2.5765e-05	0.017194	2.0			14.2%	0	1
SGPL1	0.0036264	0.12251	2.0			25.82%	1	1
WWC2	1.5899e-07	2.4811e-05	2.0			63.1%	1	1
SEC11C	0.72415	0.69429	2.0			19.31%	0	1
SLC39A14	0.15001	0.31463	2.0			69.91%	1	1
RIPK1	0.0079441	0.41818	2.0			52.24%	1	1
USP2	0.0006905	0.18518	2.0			23.99%	1	1
SNRPC	0.72303	0.72726	2.0			4.69%	0	1
SNRPG	0.80443	0.86684	2.0			7.48%	0	1
CPSF4	0.26766	0.62961	2.0			2.73%	0	1
OSBPL5	4.6494e-06	0.0008489	2.0	0.0	0	75.98%	1	1
HDX	0.075851	0.51707	2.0			29.25%	1	1
PCMTD1	0.26735	2.5569e-06	2.0			21.84%	1	1
POLG	2.0756e-09	4.1245e-05	2.0			28.2%	1	1
TMEM229A	0.58955	0.0	2.0			71.78%	1	1
TOM1L2	0.0015723	0.41448	2.0			33.8%	1	1
EPHA2	1.073e-05	0.73829	2.0			6.62%	0	1
NDUFB11	0.80382	0.75086	2.0			43.62%	1	1
FA2H	0.14678	0.72641	2.0	30.0	Not yet evaluated	59.01%	2	1
ELMO2	1.0384e-05	0.00035088	2.0			23.9%	1	1
CREBL2	0.72167	0.62302	2.0			23.63%	1	1
DPY19L1	0.00013176	0.14287	2.0			48.81%	1	1
NFKBIB	0.42245	0.24957	2.0			62.49%	1	1
HSPE1	0.80379	0.78753	2.0			9.58%	0	1
UBALD1	0.8032	0.70016	2.0			65.07%	1	1
HIF1AN	0.073885	0.86769	2.0			11.58%	0	1
PSMD7	0.26367	0.019332	2.0			6.5%	0	1
CD40LG	0.72079	0.86443	2.0	3.0	0	8.39%	0	1
POU6F2	0.0015216	0.00036908	2.0			1.44%	0	1
LAMTOR1	0.72085	0.43568	2.0			14.03%	0	1
NANOG	0.72022	0.91162	2.0			14.97%	0	1
SEC61A2	0.0073737	0.95004	2.0			22.44%	1	1
PAX7	0.14469	0.62983	2.0			11.21%	0	1
AK5	0.0033057	0.1395	2.0			40.71%	1	1
PEX3	0.016335	0.0027614	2.0	30.0	0	27.6%	2	1
FARSB	0.0032955	0.90098	2.0			12.04%	0	1
ROR2	0.00012401	0.46472	2.0	0.0	0	53.78%	1	1
DIO1	0.58399	0.2711	2.0			51.57%	1	1
FBXO47	0.035287	0.014053	2.0			36.35%	1	1
CTD-3193O13.9	0.14402	0.0	2.0				1	1
ABI3BP	1.0074e-08	3.9402e-07	2.0			56.79%	1	1
TRPM7	5.2086e-16	1.6555e-08	2.0			14.34%	0	1
TGFA	0.71981	0.57437	2.0			2.83%	0	1
NCAPH2	0.00028787	0.65283	2.0			74.92%	1	1
PRKRA	0.41653	0.15454	2.0			15.66%	0	1
SP7	0.58269	0.66314	2.0			14.44%	0	1
SLC44A2	0.00011917	0.041465	2.0			53.39%	1	1
NUP93	1.7535e-06	0.004868	2.0			6.21%	0	1
AP1AR	0.14205	0.51117	2.0			35.44%	1	1
TTC39A	0.0006305	0.09831	2.0			45.18%	1	1
CHRNB4	0.1427	0.018627	2.0			59.88%	1	1
RPS15A	0.802	0.83336	2.0			25.86%	1	1
C10orf2	0.0032311	0.99031	2.0			26.77%	1	1
SLC35A2	0.71792	0.78053	2.0	3.0	0	32.21%	0	1
VAPB	0.58111	0.73972	2.0			35.24%	1	1
NID2	4.1103e-09	6.9535e-07	2.0			56.59%	1	1
LPP	0.0071908	0.5824	2.0			4.34%	0	1
YIPF3	0.14123	0.8121	2.0			29.99%	1	1
NDUFS2	0.0014212	0.99774	2.0			26.03%	1	1
ZC3H8	0.25738	0.46485	2.0			66.03%	1	1
SNRPD2	0.80129	0.74752	2.0			4.2%	0	1
PCDH11X	0.015836	0.92574	2.0			35.17%	1	1
PRRT2	0.57919	0.30174	2.0	3.0	0	70.09%	0	1
ATP8B1	2.7666e-10	3.665e-07	2.0			41.4%	1	1
ESRRG	0.071232	0.93661	2.0			0.52%	0	1
CD200	0.41359	0.16024	2.0			65.55%	1	1
MBNL2	0.25602	0.9009	2.0			6.01%	0	1
SUN1	9.1868e-06	0.83584	2.0			83.24%	2	1
BCAP29	0.25556	0.22006	2.0			49.73%	1	1
PIP4K2A	0.14155	0.7882	2.0			20.5%	1	1
PTPN5	0.0014228	0.00077769	2.0			30.12%	1	1
ANKRD40	0.25435	0.31365	2.0			51.27%	1	1
E2F2	0.25505	0.9147	2.0			50.25%	1	1
TUB	0.0031466	0.47143	2.0			13.93%	0	1
UBA6	3.7296e-09	0.93232	2.0			26.22%	1	1
ARAP2	8.7668e-14	7.5616e-13	2.0			47.92%	1	1
TNIP3	0.01544	0.3247	2.0			79.46%	1	1
GFI1	0.25492	0.029629	2.0			28.29%	1	1
TSR2	0.80082	0.76061	2.0			56.05%	1	1
WDR52	6.1049e-15	4.1863e-06	2.0				1	1
KCND1	0.25536	0.44703	2.0			36.22%	1	1
RBM38	0.71583	0.85928	2.0			61.69%	1	1
WDR19	4.632e-11	1.7311e-07	2.0			40.57%	1	1
KIAA1045	0.070044	0.89227	2.0			37.73%	1	1
HNF4G	0.070708	0.54463	2.0			27.17%	1	1
EFTUD1	5.1247e-08	0.033656	2.0			67.96%	1	1
UPRT	0.5784	0.81481	2.0			32.34%	1	1
BHLHE22	0.79994	0.67798	2.0			26.34%	1	1
F5	5.919e-15	4.694e-08	2.0	30.0	0	66.18%	2	1
SLC5A7	0.015272	0.10165	2.0			35.67%	1	1
MCM5	0.00059281	0.56369	2.0			15.9%	0	1
FERMT3	0.00026014	0.25701	2.0			55.83%	1	1
COL6A3	1.8131e-20	7.7933e-11	2.0			57.76%	1	1
CDK5	0.13892	0.94752	2.0			3.28%	0	1
EML3	3.748e-06	0.39434	2.0			43.38%	1	1
NYNRIN	1.4848e-09	0.00054967	2.0			71.47%	1	1
PRTG	1.1959e-07	0.019529	2.0			41.23%	1	1
NELFE	0.006895	0.75627	2.0			27.42%	1	1
HEPH	4.6122e-05	0.0095893	2.0			55.09%	1	1
DNAH2	1.2998e-44	2.4885e-21	2.0			42.06%	1	1
SLC37A1	0.00058122	0.028613	2.0			67.59%	1	1
